text,transliteration
The tiny teacher tamed the terrible T-Rex by tickling its tummy.,ðə tajni tit͡ʃɹ̩ tejmd ðə tɛɹəbəl ti-ɹɛks baj tɪklɪŋ ɪts tʌmi.
"Noisy boys enjoy noisy toys, but noisy boys enjoying noisy toys are annoying.","nojzi bojz ɛnd͡ʒoj nojzi tojz, bʌt nojzi bojz ɛnd͡ʒojɪŋ nojzi tojz ɑɹ ənojɪŋ."
The fat farmer’s five filthy fingers fed the ferocious ferret french fries.,ðə fæt fɑɹmɹ̩z fajv fɪlθi fɪŋɡɹ̩z fɛd ðə fɹ̩owʃəs fɛɹət fɹɛnt͡ʃ fɹajz.
The peppy puppy the prince presented the princess produced piles of poop in the palace.,ðə pɛpi pʌpi ðə pɹɪns pɹizɛntəd ðə pɹɪnsɛs pɹədust pajlz ʌv pup ɪn ðə pæləs.
The hippos heard the hunter’s hiccups and hurried home to hide.,ðə hɪpowz hɹ̩d ðə hʌntɹ̩z hɪkəps ænd hɹ̩id howm tə hajd.
"The big, bumbling bear burned his butt baking bread.","ðə bɪɡ, bʌmbəlɪŋ bɛɹ bɹ̩nd hɪz bʌt bejkɪŋ bɹɛd."
Six stinky skunks sprayed Santa’s sleigh.,sɪks stɪŋki skʌŋks spɹejd sæntəs slej.
The twins took the toilet and tiptoed toward town to try trading it for toys.,ðə twɪnz tʊk ðə tojlət ænd tɪptowd təwɔɹd tawn tə tɹaj tɹejdɪŋ ɪt fɔɹ tojz.
My sister’s shop sells shoes for sheep.,maj sɪstɹ̩z ʃɑp sɛlz ʃuz fɔɹ ʃip.
Firefighters found Father frowning from a funny fever and farting fierce flames.,fajɹ̩fajtɹ̩z fawnd fɑðɹ̩ fɹawnɪŋ fɹʌm ə fʌni fivɹ̩ ænd fɑɹtɪŋ fɪɹs flejmz.
The nervous nurse had another nasty nosebleed and needed nine napkins for her nostrils.,ðə nɹ̩vəs nɹ̩s hæd ənʌðɹ̩ næsti nowzblid ænd nidəd najn næpkɪnz fɔɹ hɹ̩ nɑstɹəlz.
"If eight great apes ate eighty-eight grapes, guess how many grapes each great ape ate.","ɪf ejt ɡɹejt ejps ejt ejti-ejt ɡɹejps, ɡɛs haw mɛni ɡɹejps it͡ʃ ɡɹejt ejp ejt."
"The little lambs, licking lollipops, went leaping and laughing into the lava.","ðə lɪtəl læmz, lɪkɪŋ lɑlipɑps, wɛnt lipɪŋ ænd læfɪŋ ɪntu ðə lɑvə."
"When the wizard winked and waved his wand, the wars of the world went away.","wɛn ðə wɪzɹ̩d wɪŋkt ænd wejvd hɪz wɑnd, ðə wɔɹz ʌv ðə wɹ̩ld wɛnt əwej."
Flee from fog to fight flu fast!,fli fɹʌm fɑɡ tə fajt flu fæst!
She sold six shabby sheared sheep on ship.,ʃi sowld sɪks ʃæbi ʃɪɹd ʃip ɑn ʃɪp.
Three fluffy feathers fell from Phoebe’s flimsy fan.,θɹi flʌfi fɛðɹ̩z fɛl fɹʌm fbz flɪmzi fæn.
The cat catchers can’t catch caught cats.,ðə kæt kæt͡ʃɹ̩z kænt kæt͡ʃ kɑt kæts.
Should saucy sharks seek shelter soon?,ʃʊd sɔsi ʃɑɹks sik ʃɛltɹ̩ sun?
The foreign authorities put Dorothy in an orange forest.,ðə fɔɹən əθɔɹətiz pʊt dɔɹəθi ɪn æn ɔɹənd͡ʒ fɔɹəst.
I carried the married character over the barrier.,aj kæɹid ðə mɛɹid kɛɹɪktɹ̩ owvɹ̩ ðə bæɹiɹ̩.
The big fat cat sat on the rat.,ðə bɪɡ fæt kæt sæt ɑn ðə ɹæt.
Ailing Auntie Annie Ames ate apple butter in abundance.,ejlɪŋ ænti æni ejmz ejt æpəl bʌtɹ̩ ɪn əbʌndəns.
Double bubble gum bubbles double.,dʌbəl bʌbəl ɡʌm bʌbəlz dʌbəl.
The baby boy blows blue bubbles.,ðə bejbi boj blowz blu bʌbəlz.
Chubby jugglers juggling oranges jovially.,t͡ʃʌbi d͡ʒʌɡəlɹ̩z d͡ʒʌɡəlɪŋ ɔɹənd͡ʒəz d͡ʒowviəli.
Eddie eats eight eggs easily every evening.,ɛdi its ejt ɛɡz izəli ɛvɹ̩i ivnɪŋ.
A cheap sheep is cheaper than a cheap ship.,ə t͡ʃip ʃip ɪz t͡ʃipɹ̩ ðæn ə t͡ʃip ʃɪp.
George and Grace grew glossy grapes and grimy garlic gladly.,d͡ʒɔɹd͡ʒ ænd ɡɹejs ɡɹu ɡlɔsi ɡɹejps ænd ɡɹajmi ɡɑɹlɪk ɡlædli.
Extreme exercise exacerbates exhaustion.,ɪkstɹim ɛksɹ̩sajz ɪɡzæsɹ̩bejts ɪɡzɔst͡ʃən.
The exacting vixen exudes existence.,ðə ɪɡzæktɪŋ vɪksɪn ɪɡzudz ɛɡzɪstəns.
This exemplary example exempts jinxes.,ðɪs ɪɡzɛmplɹ̩i ɪɡzæmpəl ɪɡzɛmpts d͡ʒɪŋksɪz.
Expect exactly to exactly expect excellence.,ɪkspɛkt ɪɡzæktli tə ɪɡzæktli ɪkspɛkt ɛksələns.
Vincent the very vivacious vacuuming vampire visited Victor Von Viking the vegetarian veterinarian vacationing in Valentine Valley.,vɪnsənt ðə vɛɹi vəvejʃəs vækjumɪŋ væmpajɹ vɪzətəd vɪktɹ̩ vɔn vajkɪŋ ðə vɛd͡ʒətɛɹiən vɛtɹənɛɹiən vejkejʃənɪŋ ɪn væləntajn væli.
Would that we would work without weariness!,wʊd ðæt wi wʊd wɹ̩k wɪθawt wɪɹinəs!
You usually use unique unicorns.,ju juʒəwəli jus junik junɪkɔɹnz.
One way to outthink others is to make them think you think you're not really thinking what you're trying to get them to think you think.,wʌn wej tə awθɪŋk ʌðɹ̩z ɪz tə mejk ðɛm θɪŋk ju θɪŋk jɹ nɑt ɹɪli θɪŋkɪŋ wʌt jɹ tɹajɪŋ tə ɡɛt ðɛm tə θɪŋk ju θɪŋk.
I vigorously sheared the swift smelly silly sheep on the sweet swell sheep swift ship.,aj vɪɡɹ̩əsli ʃɪɹd ðə swɪft smɛli sɪli ʃip ɑn ðə swit swɛl ʃip swɪft ʃɪp.
Sailor Sam saw some swallows swooping suddenly.,sejlɹ̩ sæm sɔ sʌm swɑlowz swupɪŋ sʌdənli.
Sixty six sick chicks are stuck in the stock room full of sixty six sticks.,sɪksti sɪks sɪk t͡ʃɪks ɑɹ stʌk ɪn ðə stɑk ɹum fʊl ʌv sɪksti sɪks stɪks.
Skillful skaters skidded and slammed against a big stone slab.,skɪlfəl skejtɹ̩z skɪdəd ænd slæmd əɡɛnst ə bɪɡ stown slæb.
Stodgy students study static structures.,stɑd͡ʒi studənts stʌdi stætɪk stɹʌkt͡ʃɹ̩z.
Squirmy squirrels swim in slosh.,skwɹ̩mi skwɹ̩əlz swɪm ɪn slɑʃ.
I vigorously sheared the swift smelly silly sheep on the sweet swell sheep swift ship.,aj vɪɡɹ̩əsli ʃɪɹd ðə swɪft smɛli sɪli ʃip ɑn ðə swit swɛl ʃip swɪft ʃɪp.
Scandalous scouts scaled a scaffold.,skændələs skawts skejld ə skæfəld.
Slender skiers slammed into sleek smugglers.,slɛndɹ̩ skiɹ̩z slæmd ɪntu slik smʌɡəlɹ̩z.
Quaint queens can't quarrel crazily.,kwejnt kwinz kænt kwɔɹəl kɹejzəli.
You know you need unique New York.,ju now ju nid junik nu jɔɹk.
"Despite the statistics, his next guest is optimistic.","dɪspajt ðə stətɪstɪks, hɪz nɛkst ɡɛst ɪz ɑptəmɪstɪk."
Episcopalians sip spiked punch at parties.,ɪpɪskəpejljənz sɪp spajkt pʌnt͡ʃ æt pɑɹtiz.
"Brisk brave brigadiers brandished broad bright blades, blunderbusses, and bludgeons -- Balancing them badly.","bɹɪsk bɹejv bɹɪɡədɹ̩z bɹændɪʃt bɹɔd bɹajt blejdz, blʌndɹ̩bəsɪz, ænd blʌd͡ʒənz -- bælənsɪŋ ðɛm bædli."
Can you can a canned can into an uncanned can like a canner can can a canned can into an uncanned can?,kæn ju kæn ə kænd kæn ɪntu æn ənkænd kæn lajk ə kænɹ̩ kæn kæn ə kænd kæn ɪntu æn ənkænd kæn?
Do scientists see thieves seize skies?,du sajəntɪsts si θivz siz skajz?
"If scientists see thieves seize skies, then where are the skies, the scientists see the thieves seize?","ɪf sajəntɪsts si θivz siz skajz, ðɛn wɛɹ ɑɹ ðə skajz, ðə sajəntɪsts si ðə θivz siz?"
"If you must cross a coarse cross cow across a crowded cow crossing, cross the cross coarse cow across the crowded cow crossing carefully.","ɪf ju mʌst kɹɔs ə kɔɹs kɹɔs kaw əkɹɔs ə kɹawdəd kaw kɹɔsɪŋ, kɹɔs ðə kɹɔs kɔɹs kaw əkɹɔs ðə kɹawdəd kaw kɹɔsɪŋ kɛɹfəli."
Does the rapid rabid rabbit wrap it?,dowz ðə ɹæpəd ɹæbɪd ɹæbət ɹæp ɪt?
Awful old Ollie oils oily autos.,ɑfəl owld ɑli ojlz ojli ɔtowz.
A tidy tiger tied a tie tighter to tidy her tiny tail,ə tajdi tajɡɹ̩ tajd ə taj tajtɹ̩ tə tajdi hɹ̩ tajni tejl
A lusty lady loved a lawyer and longed to lure him from his laboratory.,ə lʌsti lejdi lʌvd ə lɔjɹ̩ ænd lɔŋd tə lʊɹ hɪm fɹʌm hɪz læbɹətɔɹi.
Bright blows the broom on the brook's bare brown banks.,bɹajt blowz ðə bɹum ɑn ðə bɹʊkz bɛɹ bɹawn bæŋks.
That sphinx has a sphincter that stinks.,ðæt sfɪŋks hæz ə sfɪŋktɹ̩ ðæt stɪŋks.
Jack the jailbird jacked a jeep.,d͡ʒæk ðə d͡ʒejlbɹ̩d d͡ʒækt ə d͡ʒip.
Love's a feeling you feel when you feel you're going to feel the feeling you've never felt before.,lʌvɛz ə filɪŋ ju fil wɛn ju fil jɹ ɡowɪŋ tə fil ðə filɪŋ jv nɛvɹ̩ fɛlt bɪfɔɹ.
Larry sent the latter a letter later.,lɛɹi sɛnt ðə lætɹ̩ ə lɛtɹ̩ lejtɹ̩.
Ten tame tadpoles tucked tightly together in a thin tall tin.,tɛn tejm tædpowlz tʌkt tajtli təɡɛðɹ̩ ɪn ə θɪn tɔl tɪn.
Top chopstick shops stock top chopsticks.,tɑp t͡ʃɑpstɪk ʃɑps stɑk tɑp t͡ʃɑpstɪks.
"Big Billy, who had a big belly was a bad big bully.","bɪɡ bɪli, hu hæd ə bɪɡ bɛli wɑz ə bæd bɪɡ bʊli."
How many counts would a recount count if a recount could count counts?,haw mɛni kawnts wʊd ə ɹikawnt kawnt ɪf ə ɹikawnt kʊd kawnt kawnts?
"If you stick a stock of liquor in your locker it is slick to put a lock upon your stock, or some joker who is quicker is gonna trick you of your liquor if you fail to lock your liquor with a lock.","ɪf ju stɪk ə stɑk ʌv lɪkɹ̩ ɪn jɔɹ lɑkɹ̩ ɪt ɪz slɪk tə pʊt ə lɑk əpɑn jɔɹ stɑk, ɔɹ sʌm d͡ʒowkɹ̩ hu ɪz kwɪkɹ̩ ɪz ɡɑnə tɹɪk ju ʌv jɔɹ lɪkɹ̩ ɪf ju fejl tə lɑk jɔɹ lɪkɹ̩ wɪð ə lɑk."
At present May can't marry a peasant however pleasant the peasant may be.,æt pɹɛzənt mej kænt mɛɹi ə pɛzənt hawɛvɹ̩ plɛzənt ðə pɛzənt mej bi.
The embarrassed banished barrister balances his embarrassed banished ballast on the banister.,ðə ɪmbɛɹəst bænɪʃt bæɹɪstɹ̩ bælənsəz hɪz ɪmbɛɹəst bænɪʃt bæləst ɑn ðə bænɪstɹ̩.
A peer sat on a pier with a pair of pears and pare the pears.,ə pɪɹ sæt ɑn ə pɪɹ wɪð ə pɛɹ ʌv pɛɹz ænd pɛɹ ðə pɛɹz.
The instinct of an extinct insect stinks.,ðə ɪnstɪŋkt ʌv æn ɪkstɪŋkt ɪnsɛkt stɪŋks.
Rosco the rum runner rubbed out Rudy the rat for ruining his rum running receipts.,ɹɑskow ðə ɹʌm ɹʌnɹ̩ ɹʌbd awt ɹudi ðə ɹæt fɔɹ ɹuɪnɪŋ hɪz ɹʌm ɹʌnɪŋ ɹɪsits.
Simmering shoals of shrimps swim by shimmering shredded shores.,sɪmɹ̩ɪŋ ʃowlz ʌv ʃɹɪmps swɪm baj ʃɪmɹ̩ɪŋ ʃɹɛdəd ʃɔɹz.
A barren beacon beckons the bacon baron.,ə bæɹən bikən bɛkənz ðə bejkən bæɹən.
Tim was a thin twin tinsmith.,tɪm wɑz ə θɪn twɪn tɪnsmɪθ.
I don't need your needles to kneadle noodles.,aj dɑnt nid jɔɹ nidəlz tə nidəl nudəlz.
My dame has a lame tame crane.,maj dejm hæz ə lejm tejm kɹejn.
What a shame that such a shapely sash should show such shabby stitches.,wʌt ə ʃejm ðæt sʌt͡ʃ ə ʃejpli sæʃ ʃʊd ʃow sʌt͡ʃ ʃæbi stɪt͡ʃɪz.
Don't pamper damp scamp tramps that came under ramp lamps.,dɑnt pæmpɹ̩ dæmp skæmp tɹæmps ðæt kejm ʌndɹ̩ ɹæmp læmps.
I saw six shimmering sharks sharply striking shins.,aj sɔ sɪks ʃɪmɹ̩ɪŋ ʃɑɹks ʃɑɹpli stɹajkɪŋ ʃɪnz.
Brad's big black bath brush broke.,bɹædz bɪɡ blæk bæθ bɹʌʃ bɹowk.
Strict strong stringy Stephen Stretch slickly snared six sickly silky snakes.,stɹɪkt stɹɔŋ stɹɪŋi stivən stɹɛt͡ʃ slɪkli snɛɹd sɪks sɪkli sɪlki snejks.
I correctly recollect Rebecca Macgregor's reckoning.,aj kɹ̩ɛktli ɹɛkəlɛkt ɹəbɛkə məɡɹɛɡɹz ɹɛkənɪŋ.
Cedar shingles should be shaved and saved.,sidɹ̩ ʃɪŋɡəlz ʃʊd bi ʃejvd ænd sejvd.
That's a shelter for six sick scenic sightseers.,θætz ə ʃɛltɹ̩ fɔɹ sɪks sɪk sinɪk sajtsiɹz.
Are our oars oak?,ɑɹ awɹ̩ ɔɹz owk?
"With a bloody, blameful blade, he bravely broached his boiling bloody breast.","wɪð ə blʌdi, bləmfəl blejd, hi bɹejvli bɹowt͡ʃt hɪz bojlɪŋ blʌdi bɹɛst."
"She stood on the balcony inexplicably mimicing him hiccuping, and amicably welcoming him home.","ʃi stʊd ɑn ðə bælkəni ɪnɪksplɪkəbli mɪməsɪŋ hɪm hɪkjəpɪŋ, ænd æmɪkəbli wɛlkəmɪŋ hɪm howm."
Kris Kringle carefully crunched on candy canes.,kɹɪs kɹɪŋɡəl kɛɹfəli kɹʌnt͡ʃt ɑn kændi kejnz.
"Pick a partner and practice passing, for if you pass proficiently, perhaps you'll play professionally.","pɪk ə pɑɹtnɹ̩ ænd pɹæktəs pæsɪŋ, fɔɹ ɪf ju pæs pɹɑfɪʃəntli, pɹ̩hæps jl plej pɹəfɛʃənəli."
"The kitten that was bitten had a button for an eye, and biting off the button made the cotton batten fly.","ðə kɪtən ðæt wɑz bɪtən hæd ə bʌtən fɔɹ æn aj, ænd bajtɪŋ ɔf ðə bʌtən mejd ðə kɑtən bætən flaj."
The ochre ogre ogled the poker.,ðə owkɹ̩ owɡɹ̩ owɡəld ðə powkɹ̩.
The soldiers shouldered shooters on their shoulders.,ðə sowld͡ʒɹ̩z ʃowldɹ̩d ʃutɹ̩z ɑn ðɛɹ ʃowldɹ̩z.
Cows graze in groves on grass which grows in grooves in groves.,kawz ɡɹejz ɪn ɡɹowvz ɑn ɡɹæs wɪt͡ʃ ɡɹowz ɪn ɡɹuvz ɪn ɡɹowvz.
"They have left the thriftshop, and lost both their theatre tickets and the volume of valuable licenses and coupons for free theatrical frills and thrills.","ðej hæv lɛft ðə θɹɪft͡ʃʃɑp, ænd lɔst bowθ ðɛɹ θiətɹ̩ tɪkəts ænd ðə vɑljum ʌv væljəbəl lajsənsɪz ænd kupɔnz fɔɹ fɹi θiætɹɪkəl fɹɪlz ænd θɹɪlz."
"Brisk brave brigadiers brandished broad bright blades, blunderbusses, and bludgeons, balancing them badly.","bɹɪsk bɹejv bɹɪɡədɹ̩z bɹændɪʃt bɹɔd bɹajt blejdz, blʌndɹ̩bəsɪz, ænd blʌd͡ʒənz, bælənsɪŋ ðɛm bædli."
"They both, though, have thirty-three thick thimbles to thaw.","ðej bowθ, ðow, hæv θɹ̩di-θɹi θɪk θɪmbəlz tə θɔ."
What time does the wristwatch strap shop shut?,wʌt tajm dowz ðə ɹɪstwɑt͡ʃ stɹæp ʃɑp ʃʌt?
A rough-coated dough-faced thoughtful ploughman strode,ə ɹʌf-kowtəd dow-fejst θɔtfəl plawmən stɹowd
A truly rural frugal ruler's mural was on the wall.,ə tɹuli ɹʊɹəl fɹuɡəl ɹulɹ̩z mjʊɹəl wɑz ɑn ðə wɔl.
A twister of twists once twisted a twist.,ə twɪstɹ̩ ʌv twɪsts wʌns twɪstəd ə twɪst.
A loyal warrior will rarely worry why we rule.,ə lojəl wɔɹiɹ̩ wɪl ɹɛɹli wɹ̩i waj wi ɹul.
Draw drowsy ducks and drakes.,dɹɔ dɹawzi dʌks ænd dɹejks.
Dust is a disk's worst enemy.,dʌst ɪz ə dɪskz wɹ̩st ɛnəmi.
Double bubble gum bubbles double.,dʌbəl bʌbəl ɡʌm bʌbəlz dʌbəl.
Miss Smith's fish sauce shop seldom sells shellfish.,mɪs smɪθz fɪʃ sɔs ʃɑp sɛldəm sɛlz ʃɛlfɪʃ.
Rolling red wagons rolling along.,ɹowlɪŋ ɹɛd wæɡənz ɹowlɪŋ əlɔŋ.
A pleasant place to place a plaice is a place where a plaice is pleased to be placed.,ə plɛzənt plejs tə plejs ə plejɪs ɪz ə plejs wɛɹ ə plejɪs ɪz plizd tə bi plejst.
"If my neat knickers need to be kneed, I would indeed need your needles.","ɪf maj nit nɪkɹ̩z nid tə bi nid, aj wʊd ɪndid nid jɔɹ nidəlz."
Each sixth chick sat on a stick.,it͡ʃ sɪksθ t͡ʃɪk sæt ɑn ə stɪk.
The big baby buggy with the red rubber buggy bumpers.,ðə bɪɡ bejbi bʌɡi wɪð ðə ɹɛd ɹʌbɹ̩ bʌɡi bʌmpɹ̩z.
An old scold sold a cold coal shovel.,æn owld skowld sowld ə kowld kowl ʃʌvəl.
Much whirling water makes the mill wheel work well.,mʌt͡ʃ wɹ̩lɪŋ wɔtɹ̩ mejks ðə mɪl wil wɹ̩k wɛl.
A very valiant viking visited a very virgin vegetarian vomiting vegetables.,ə vɛɹi væljənt vajkɪŋ vɪzətəd ə vɛɹi vɹ̩d͡ʒɪn vɛd͡ʒətɛɹiən vɑmətɪŋ vɛd͡ʒtəbəlz.
Beautiful babbling brooks bubble between blossoming banks.,bjutəfəl bæbəlɪŋ bɹʊks bʌbəl bɪtwin blɑsəmɪŋ bæŋks.
Real eyes realize real lies.,ɹil ajz ɹilajz ɹil lajz.
"Who's the more foolish; the fool, or the fool who follows him?","hɑz ðə mɔɹ fulɪʃ; ðə ful, ɔɹ ðə ful hu fɑlowz hɪm?"
Five fat frogs fought over fifty fabulous flies.,fajv fæt fɹɑɡz fɔt owvɹ̩ fɪfti fæbjələs flajz.
"If rustlers wrestle wrestlers while rustlers rustle rustlers, could rustlers rustle wrestlers while wrestlers wrestle rustlers?","ɪf ɹʌsəlɹ̩z ɹɛsəl ɹɛstlɹ̩z wajl ɹʌsəlɹ̩z ɹʌsəl ɹʌsəlɹ̩z, kʊd ɹʌsəlɹ̩z ɹʌsəl ɹɛstlɹ̩z wajl ɹɛstlɹ̩z ɹɛsəl ɹʌsəlɹ̩z?"
Sheets of sheer synthetic sheep skin are slit into several kicky sack shoe shapes and shapely shoe sizes by six sitting sheet slitters.,ʃits ʌv ʃɪɹ sɪnθɛtɪk ʃip skɪn ɑɹ slɪt ɪntu sɛvɹəl kɪki sæk ʃu ʃejps ænd ʃejpli ʃu sajzəz baj sɪks sɪtɪŋ ʃit slɪtɹ̩z.
"Sometimes, you just have to play the role of a fool to fool the fool who thinks they are fooling you.","səmtajmz, ju d͡ʒʌst hæv tə plej ðə ɹowl ʌv ə ful tə ful ðə ful hu θɪŋks ðej ɑɹ fulɪŋ ju."
"It's not a secret that the best thing about a secret is secretly telling someone your secret, thereby secretly adding another secret to their secret collection of secrets.","ɪts nɑt ə sikɹət ðæt ðə bɛst θɪŋ əbawt ə sikɹət ɪz sikɹɪtli tɛlɪŋ sʌmwʌn jɔɹ sikɹət, ðɛɹbaj sikɹɪtli ædɪŋ ənʌðɹ̩ sikɹət tə ðɛɹ sikɹət kəlɛkʃən ʌv sikɹəts."
I served crude food to this rude dude.,aj sɹ̩vd kɹud fud tə ðɪs ɹud dud.
Cheryl's cheap chip shop sells Chery's cheap chips.,t͡ʃɛɹ̩ɪlz t͡ʃip t͡ʃɪp ʃɑp sɛlz t͡ʃɛɹ̩ɪz t͡ʃip t͡ʃɪps.
The red robot Robbie rode the ruby rug.,ðə ɹɛd ɹowbɑt ɹɑbi ɹowd ðə ɹubi ɹʌɡ.
Silly Santa sleeps silently on the sleigh safely.,sɪli sæntə slips sajləntli ɑn ðə slej sejfli.
Chilly children cheerfully chant.,t͡ʃɪli t͡ʃɪldɹən t͡ʃɪɹfəli t͡ʃænt.
Santa's sleigh slides on slick snow.,sɑntəz slej slajdz ɑn slɪk snow.
Tiny Timmy trims the tall tree with tinsel.,tajni tɪmi tɹɪmz ðə tɔl tɹi wɪð tɪnsəl.
Chocolate cocoa cravings cure colds.,t͡ʃɔklət kowkow kɹejvɪŋz kjʊɹ kowldz.
Big bright bells banish boredom.,bɪɡ bɹajt bɛlz bænɪʃ bɔɹdəm.
Santa sings shining star songs.,sæntə sɪŋz ʃajnɪŋ stɑɹ sɔŋz.
Candy cane cookies keep kids coming.,kændi kejn kʊkiz kip kɪdz kʌmɪŋ.
The pretty packages are perfectly packed.,ðə pɹɪti pækəd͡ʒəz ɑɹ pɹ̩fəktli pækt.
Roberta ran rings around the Roman ruins.,ɹəbɹ̩tə ɹæn ɹɪŋz ɹ̩awnd ðə ɹowmən ɹuənz.
"How much would a wine drinker whine, if a wine drinker couldn't drink wine?","haw mʌt͡ʃ wʊd ə wajn dɹɪŋkɹ̩ wajn, ɪf ə wajn dɹɪŋkɹ̩ kʊdnt dɹɪŋk wajn?"
Gary's green ghosts get going gamely.,ɡɛɹɪz ɡɹin ɡowsts ɡɛt ɡowɪŋ ɡejmli.
Don't buy big black cats or blind bat's blood.,dɑnt baj bɪɡ blæk kæts ɔɹ blajnd bætz blʌd.
Six spooky spiders spread a silky sticky web.,sɪks spuki spajdɹ̩z spɹɛd ə sɪlki stɪki wɛb.
Haunted houses on Halloween have hair-raising horrible horrifying haunts.,hɔntəd hawsəz ɑn hæləwin hæv hɛɹ-ɹejzɪŋ hɔɹəbəl hɔɹəfajɪŋ hɔnts.
Bizarre black bats barely bite.,bəzɑɹ blæk bæts bɛɹli bajt.
Children crave candy wearing crazy costumes.,t͡ʃɪldɹən kɹejv kændi wɛɹɪŋ kɹejzi kɑstumz.
Several spooky slimy spiders spun sulking by the sea.,sɛvɹəl spuki slajmi spajdɹ̩z spʌn sʌlkɪŋ baj ðə si.
Professional pumpkin pickers are prone to pick the plumpest pumpkins.,pɹəfɛʃənəl pʌmpkɪn pɪkɹ̩z ɑɹ pɹown tə pɪk ðə plʌmpəst pʌmpkənz.
Ghostly ghouls gather gleefully to golf on ghostly golf courses.,ɡowstli ɡlz ɡæðɹ̩ ɡlifəli tə ɡɑlf ɑn ɡowstli ɡɑlf kɔɹsəz.
Five fast foxes flew far from farmer's flocks,fajv fæst fɑksəz flu fɑɹ fɹʌm fɑɹmɹ̩z flɑks
Seven silver smelly socks sat smelly on see-saws.,sɛvən sɪlvɹ̩ smɛli sɑks sæt smɛli ɑn si-sɔz.
Give your other udder to my other brother.,ɡɪv jɔɹ ʌðɹ̩ ʌdɹ̩ tə maj ʌðɹ̩ bɹʌðɹ̩.
"The cat crept into the crypt, crapped and crept out.","ðə kæt kɹɛpt ɪntu ðə kɹɪpt, kɹæpt ænd kɹɛpt awt."
Apes ate all eight apples.,ejps ejt ɔl ejt æpəlz.
Perplexed people peeked at peter pan peeping past the pipe with a pickled pepper pot.,pɹ̩plɛkst pipəl pikt æt pitɹ̩ pæn pipɪŋ pæst ðə pajp wɪð ə pɪkəld pɛpɹ̩ pɑt.
A pessimistic pest exists amidst us.,ə pɛsəmɪstɪk pɛst ɪɡzɪsts əmɪdst ʌs.
Six thick thistles stick.,sɪks θɪk θɪsəlz stɪk.
I hit him on the head with a hard hammer and he howled horribly.,aj hɪt hɪm ɑn ðə hɛd wɪð ə hɑɹd hæmɹ̩ ænd hi hawld hɔɹəbli.
Lucid Lou slued loose the sluice that slew the slough.,lusəd lu slud lus ðə slus ðæt slu ðə slʌf.
Forgiveness forms a firm foundation for future fortitude.,fɹ̩ɡɪvnəs fɔɹmz ə fɹ̩m fawndejʃən fɔɹ fjut͡ʃɹ̩ fɔɹtɪtud.
Please pause for proper applause.,pliz pɔz fɔɹ pɹɑpɹ̩ əplɔz.
The quack quit asking quick questions.,ðə kwæk kwɪt æskɪŋ kwɪk kwɛst͡ʃənz.
The queen coined quick clipped quips.,ðə kwin kojnd kwɪk klɪpt kwɪps.
Seth's sharp spacesuit shrank.,sɛθz ʃɑɹp spejsut ʃɹæŋk.
No shark shares swordfish steak.,now ʃɑɹk ʃɛɹz sɔɹdfɪʃ stejk.
Six shy shavers sheared six shy sheep.,sɪks ʃaj ʃejvɹ̩z ʃɪɹd sɪks ʃaj ʃip.
Shops at the seashore are so sure to lose.,ʃɑps æt ðə siʃɔɹ ɑɹ sow ʃʊɹ tə luz.
I shot three shy thrushes.,aj ʃɑt θɹi ʃaj θɹʌʃəz.
There goes one tough top cop!,ðɛɹ ɡowz wʌn tʌf tɑp kɑp!
Do thick tinkers think?,du θɪk tɪŋkɹ̩z θɪŋk?
Thelma sings the theme song.,θɛlmə sɪŋz ðə θim sɔŋ.
The undertaking that the,ðə ʌndɹ̩tejkɪŋ ðæt ðə
The undertaker undertook was the hardest undertaking the undertaker ever undertook to undertake.,ðə ʌndɹ̩tejkɹ̩ ʌndɹ̩tʊk wɑz ðə hɑɹdəst ʌndɹ̩tejkɪŋ ðə ʌndɹ̩tejkɹ̩ ɛvɹ̩ ʌndɹ̩tʊk tə ʌndɹ̩tejk.
Shops at the seashore are sure to lose.,ʃɑps æt ðə siʃɔɹ ɑɹ ʃʊɹ tə luz.
Do thick thinkers think?,du θɪk θɪŋkɹ̩z θɪŋk?
Twice we tripped toys.,twajs wi tɹɪpt tojz.
"She ceased shining shoes and socks, for shoes and socks shock Susan.","ʃi sist ʃajnɪŋ ʃuz ænd sɑks, fɔɹ ʃuz ænd sɑks ʃɑk suzən."
"Sheena leads, Sheila needs.","ʃinə lidz, ʃilə nidz."
There is a black spot on the black back of a black spotted hassock.,ðɛɹ ɪz ə blæk spɑt ɑn ðə blæk bæk ʌv ə blæk spɑtəd hæsək.
Those are real weird rear wheels.,ðowz ɑɹ ɹil wɪɹd ɹɪɹ wilz.
The top cop saw the cop top.,ðə tɑp kɑp sɔ ðə kɑp tɑp.
Pad kid poured curd pulled cold.,pæd kɪd pɔɹd kɹ̩d pʊld kowld.
Busy buzzing bumblebees buzz behind the brook.,bɪzi bʌzɪŋ bʌmbəlɪbiz bʌz bɪhajnd ðə bɹʊk.
"I scream, you scream, we all scream for ice cream","aj skɹim, ju skɹim, wi ɔl skɹim fɔɹ ajs kɹim"
Susie works in a shoeshine shop.,suzi wɹ̩ks ɪn ə ʃuʃajn ʃɑp.
"Where she shines she sits, and where she sits she shines","wɛɹ ʃi ʃajnz ʃi sɪts, ænd wɛɹ ʃi sɪts ʃi ʃajnz"
